Day,Date,Pos,Total,ATK,% Detech,vaccine,hospital,ICU
653,14/10/2021,9151,51862,3209,17.64490378,1063071,107925,2890
654,15/10/2021,8613,54456,3577,15.81643896,1173926,107606,2897
655,16/10/2021,7833,43560,2065,17.98209366,422837,107378,2845
656,17/10/2021,6358,36209,4125,17.55917037,255560,107790,2820
657,18/10/2021,7421,51223,1700,14.48763251,916013,107226,2831
658,19/10/2021,9594,63931,1924,15.00680421,954955,105546,2762
659,20/10/2021,9316,55210,3178,16.87375475,995524,103570,2728
660,21/10/2021,8594,50987,2161,16.85527684,882228,103086,2687
661,22/10/2021,7291,42068,2898,17.33146335,451261,102317,2585
662,23/10/2021,5337,29284,1033,18.22496927,222297,101803,2452
663,24/10/2021,6696,33684,4163,19.87887424,154904,101000,2432
664,25/10/2021,7109,51389,3525,13.83369982,836499,100042,2437
665,26/10/2021,10595,59475,2304,17.81420765,852873,98150,2414
666,27/10/2021,7521,50899,2653,14.77632174,891619,98096,2355
667,28/10/2021,8308,51712,4410,16.06590347,906976,99144,2281
668,29/10/2021,7359,49308,4575,14.92455585,990989,99301,2222
669,30/10/2021,5301,33805,2944,15.68111226,306412,100132,2217
670,31/10/2021,5464,35713,3285,15.29975079,247333,100691,2225
671,1/11/2021,6510,50388,2450,12.9197428,693289,99227,2221
672,2/11/2021,8516,61061,2113,13.94670903,736571,98444,2219
673,3/11/2021,7370,52079,2376,14.15157741,740982,97585,2205
674,4/11/2021,7914,48439,3001,16.33807469,775652,97640,2181
675,5/11/2021,7481,49697,3848,15.05322253,920422,97300,2118
676,6/11/2021,5102,32725,3300,15.59052712,296329,97410,2054
677,7/11/2021,4972,31570,1605,15.74912892,192537,98367,2048
678,8/11/2021,6458,52134,3797,12.38730963,750561,98425,1997
679,9/11/2021,7645,58393,1497,13.09232271,739015,97244,1898
680,10/11/2021,6592,48980,2358,13.45855451,735926,96463,1877
681,11/11/2021,5342,39798,3152,13.42278506,782747,96450,1846
682,12/11/2021,6155,46266,2851,13.30350581,747112,95804,1824
683,13/11/2021,4582,34829,2893,13.15570358,271032,95413,1818
